trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Pullback,TRENDING,NVDA,2026-01-20,long,181.42,182.38,2026-01-20T10:30:00+00:00,2026-01-20T12:02:00+00:00,-0.6,-1.08,0.53,0,take_profit,0
2,Pullback,TRENDING,NVDA,2026-01-20,long,182.38,181.67,2026-01-20T12:02:00+00:00,2026-01-20T13:33:00+00:00,-1.51,-2.75,-0.39,0,stop_loss,0
3,Pullback,TRENDING,NVDA,2026-01-20,short,181.67,179.9,2026-01-20T13:33:00+00:00,2026-01-20T14:40:00+00:00,-0.15,-0.27,0.97,0,take_profit,0
4,Pullback,TRENDING,NVDA,2026-01-20,short,179.9,181.2,2026-01-20T14:40:00+00:00,2026-01-20T15:32:00+00:00,-1.86,-3.34,-0.72,0,trailing_stop,0
5,Pullback,TRENDING,NVDA,2026-01-20,long,181.2,180.47,2026-01-20T15:32:00+00:00,2026-01-20T15:55:00+00:00,-1.53,-2.77,-0.4,0,end_of_day,0
6,Pullback,TRENDING,NVDA,2026-01-21,long,179.55,179.36,2026-01-21T10:32:00+00:00,2026-01-21T10:57:00+00:00,-1.24,-2.23,-0.11,0,stop_loss,0
7,Pullback,TRENDING,NVDA,2026-01-21,short,179.36,180.03,2026-01-21T10:57:00+00:00,2026-01-21T11:31:00+00:00,-1.51,-2.71,-0.37,0,stop_loss,0
8,Pullback,TRENDING,NVDA,2026-01-21,long,180.03,179.27,2026-01-21T11:31:00+00:00,2026-01-21T11:41:00+00:00,-1.56,-2.8,-0.42,0,stop_loss,0
9,Pullback,TRENDING,NVDA,2026-01-21,short,179.27,179.52,2026-01-21T11:41:00+00:00,2026-01-21T14:07:00+00:00,-1.28,-2.29,-0.14,0,trailing_stop,0
10,Pullback,TRENDING,NVDA,2026-01-21,long,179.52,179.56,2026-01-21T14:07:00+00:00,2026-01-21T14:30:00+00:00,-1.11,-2.0,0.02,0,trailing_stop,0
11,Pullback,TRENDING,NVDA,2026-01-21,short,179.56,179.95,2026-01-21T14:30:00+00:00,2026-01-21T14:44:00+00:00,-1.35,-2.43,-0.22,0,trailing_stop,0
12,Pullback,TRENDING,NVDA,2026-01-21,short,179.95,180.81,2026-01-21T14:44:00+00:00,2026-01-21T15:16:00+00:00,-1.61,-2.9,-0.48,0,trailing_stop,0
13,Pullback,TRENDING,NVDA,2026-01-21,long,180.81,182.9,2026-01-21T15:16:00+00:00,2026-01-21T15:53:00+00:00,0.02,0.04,1.15,0,take_profit,0
14,Pullback,TRENDING,NVDA,2026-01-21,long,182.9,183.11,2026-01-21T15:53:00+00:00,2026-01-21T15:55:00+00:00,-1.0,-1.83,0.12,0,end_of_day,0
15,Pullback,TRENDING,NVDA,2026-01-22,short,184.9,185.16,2026-01-22T10:31:00+00:00,2026-01-22T11:10:00+00:00,-1.25,-2.3,-0.14,0,stop_loss,0
16,Pullback,TRENDING,NVDA,2026-01-22,long,185.16,184.9,2026-01-22T11:10:00+00:00,2026-01-22T11:14:00+00:00,-1.24,-2.3,-0.14,0,stop_loss,0
17,Pullback,TRENDING,NVDA,2026-01-22,long,184.9,184.68,2026-01-22T11:14:00+00:00,2026-01-22T11:35:00+00:00,-1.22,-2.26,-0.12,0,stop_loss,0
18,Pullback,TRENDING,NVDA,2026-01-22,short,184.68,184.89,2026-01-22T11:35:00+00:00,2026-01-22T12:01:00+00:00,-1.22,-2.25,-0.11,0,stop_loss,0
19,Pullback,TRENDING,NVDA,2026-01-22,long,184.89,184.43,2026-01-22T12:01:00+00:00,2026-01-22T13:43:00+00:00,-1.35,-2.5,-0.25,0,stop_loss,0
20,Pullback,TRENDING,NVDA,2026-01-22,short,184.43,184.8,2026-01-22T13:43:00+00:00,2026-01-22T13:47:00+00:00,-1.31,-2.41,-0.2,0,stop_loss,0
21,Pullback,TRENDING,NVDA,2026-01-22,short,184.8,185.83,2026-01-22T13:47:00+00:00,2026-01-22T14:30:00+00:00,-1.66,-3.07,-0.56,0,stop_loss,0
22,Pullback,TRENDING,NVDA,2026-01-22,long,185.83,184.57,2026-01-22T14:30:00+00:00,2026-01-22T14:35:00+00:00,-1.78,-3.3,-0.68,0,trailing_stop,0
23,Pullback,TRENDING,NVDA,2026-01-22,long,184.57,185.08,2026-01-22T14:35:00+00:00,2026-01-22T15:55:00+00:00,-0.83,-1.53,0.28,0,end_of_day,0
24,Pullback,TRENDING,NVDA,2026-01-26,long,186.4,186.33,2026-01-26T10:32:00+00:00,2026-01-26T10:39:00+00:00,-1.13,-2.11,-0.04,0,stop_loss,0
25,Pullback,TRENDING,NVDA,2026-01-26,long,186.33,186.07,2026-01-26T10:39:00+00:00,2026-01-26T11:11:00+00:00,-1.24,-2.3,-0.14,0,stop_loss,0
26,Pullback,TRENDING,NVDA,2026-01-26,short,186.07,186.29,2026-01-26T11:11:00+00:00,2026-01-26T11:39:00+00:00,-1.22,-2.26,-0.12,0,stop_loss,0
27,Pullback,TRENDING,NVDA,2026-01-26,long,186.29,186.21,2026-01-26T11:39:00+00:00,2026-01-26T11:40:00+00:00,-1.14,-2.12,-0.04,0,stop_loss,0
28,Pullback,TRENDING,NVDA,2026-01-26,long,186.21,186.05,2026-01-26T11:40:00+00:00,2026-01-26T11:46:00+00:00,-1.18,-2.2,-0.09,0,stop_loss,0
29,Pullback,TRENDING,NVDA,2026-01-26,short,186.05,186.38,2026-01-26T11:46:00+00:00,2026-01-26T12:01:00+00:00,-1.28,-2.37,-0.18,0,stop_loss,0
30,Pullback,TRENDING,NVDA,2026-01-26,long,186.38,186.25,2026-01-26T12:01:00+00:00,2026-01-26T13:04:00+00:00,-1.17,-2.17,-0.07,0,stop_loss,0
31,Pullback,TRENDING,NVDA,2026-01-26,long,186.25,186.92,2026-01-26T13:04:00+00:00,2026-01-26T14:02:00+00:00,-0.74,-1.37,0.36,0,take_profit,0
32,Pullback,TRENDING,NVDA,2026-01-26,long,186.92,187.66,2026-01-26T14:02:00+00:00,2026-01-26T14:30:00+00:00,-0.7,-1.3,0.4,0,take_profit,0
33,Pullback,TRENDING,NVDA,2026-01-26,long,187.66,187.38,2026-01-26T14:30:00+00:00,2026-01-26T14:50:00+00:00,-1.24,-2.32,-0.15,0,trailing_stop,0
34,Pullback,TRENDING,NVDA,2026-01-26,short,187.38,187.31,2026-01-26T14:50:00+00:00,2026-01-26T15:55:00+00:00,-1.05,-1.97,0.04,0,end_of_day,0
