trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.44,190.48,2026-01-06T14:40:00+00:00,2026-01-06T14:45:00+00:00,0.52,97.66,0.55,0,take_profit,0
2,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.21,191.88,2026-01-06T14:47:00+00:00,2026-01-06T14:51:00+00:00,-0.38,-73.38,-0.35,0,trailing_stop,0
3,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.88,191.63,2026-01-06T14:51:00+00:00,2026-01-06T15:13:00+00:00,0.09,18.12,0.13,0,trailing_stop,0
4,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.63,190.85,2026-01-06T15:13:00+00:00,2026-01-06T15:34:00+00:00,0.37,71.63,0.41,0,take_profit,0
5,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.97,189.47,2026-01-06T15:46:00+00:00,2026-01-06T15:54:00+00:00,-0.3,-56.34,-0.26,0,stop_loss,0
6,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.47,189.22,2026-01-06T15:54:00+00:00,2026-01-06T15:55:00+00:00,-0.17,-31.33,-0.13,0,end_of_day,0
7,Momentum,TRENDING,NVDA,2026-01-13,short,185.2,185.36,2026-01-13T11:44:00+00:00,2026-01-13T11:56:00+00:00,-0.12,-22.23,-0.09,0,stop_loss,0
8,Momentum,TRENDING,NVDA,2026-01-13,long,185.36,185.24,2026-01-13T11:56:00+00:00,2026-01-13T11:59:00+00:00,-0.1,-18.24,-0.06,0,stop_loss,0
9,Momentum,TRENDING,NVDA,2026-01-13,long,185.0,184.77,2026-01-13T12:15:00+00:00,2026-01-13T12:54:00+00:00,-0.16,-29.23,-0.12,0,stop_loss,0
10,Momentum,TRENDING,NVDA,2026-01-13,long,184.81,184.31,2026-01-13T14:53:00+00:00,2026-01-13T15:00:00+00:00,-0.3,-56.22,-0.27,0,stop_loss,0
11,Momentum,TRENDING,NVDA,2026-01-14,short,184.11,184.24,2026-01-14T10:49:00+00:00,2026-01-14T10:57:00+00:00,-0.1,-19.21,-0.07,0,stop_loss,0
12,Momentum,TRENDING,NVDA,2026-01-14,short,181.58,182.23,2026-01-14T14:58:00+00:00,2026-01-14T15:14:00+00:00,-0.39,-71.16,-0.36,0,stop_loss,0
13,VWAPMagnet,MIXED,NVDA,2026-01-15,short,186.55,185.9,2026-01-15T11:14:00+00:00,2026-01-15T12:00:00+00:00,0.31,58.74,0.35,0,take_profit,0
14,VWAPMagnet,MIXED,NVDA,2026-01-15,long,185.4,185.27,2026-01-15T12:14:00+00:00,2026-01-15T12:16:00+00:00,-0.1,-19.24,-0.07,0,stop_loss,0
15,VWAPMagnet,MIXED,NVDA,2026-01-15,long,185.27,184.78,2026-01-15T12:16:00+00:00,2026-01-15T12:25:00+00:00,-0.3,-55.23,-0.26,0,stop_loss,0
16,VWAPMagnet,MIXED,NVDA,2026-01-15,long,184.78,185.91,2026-01-15T12:25:00+00:00,2026-01-15T13:35:00+00:00,0.58,106.76,0.61,0,take_profit,0
17,VWAPMagnet,MIXED,NVDA,2026-01-15,short,186.28,186.52,2026-01-15T13:46:00+00:00,2026-01-15T14:28:00+00:00,-0.16,-30.26,-0.13,0,trailing_stop,0
18,VWAPMagnet,MIXED,NVDA,2026-01-15,short,187.76,188.79,2026-01-15T14:41:00+00:00,2026-01-15T14:44:00+00:00,-0.58,-109.3,-0.55,0,trailing_stop,0
19,VWAPMagnet,MIXED,NVDA,2026-01-15,short,188.79,188.63,2026-01-15T14:44:00+00:00,2026-01-15T15:13:00+00:00,0.05,9.69,0.08,0,trailing_stop,0
20,VWAPMagnet,MIXED,NVDA,2026-01-15,short,188.63,187.53,2026-01-15T15:13:00+00:00,2026-01-15T15:25:00+00:00,0.55,103.7,0.58,0,take_profit,0
21,VWAPMagnet,MIXED,NVDA,2026-01-15,long,186.93,187.5,2026-01-15T15:46:00+00:00,2026-01-15T15:55:00+00:00,0.27,50.72,0.3,0,end_of_day,0
