trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,441.36,439.65,2026-01-26T14:33:00+00:00,2026-01-26T14:34:00+00:00,-0.41,-183.05,-0.39,0,stop_loss,0
2,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,439.65,441.33,2026-01-26T14:34:00+00:00,2026-01-26T14:35:00+00:00,0.35,155.95,0.38,0,trailing_stop,0
3,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,440.64,439.1,2026-01-26T14:37:00+00:00,2026-01-26T14:41:00+00:00,-0.38,-166.03,-0.35,0,trailing_stop,0
4,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,439.1,439.31,2026-01-26T14:41:00+00:00,2026-01-26T15:26:00+00:00,0.02,8.98,0.05,0,trailing_stop,0
5,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,438.35,437.6,2026-01-26T15:28:00+00:00,2026-01-26T15:30:00+00:00,-0.2,-86.99,-0.17,0,stop_loss,0
6,VWAPMagnet,TRENDING,TSLA,2026-01-26,long,437.6,438.63,2026-01-26T15:30:00+00:00,2026-01-26T15:55:00+00:00,0.21,91.0,0.24,0,end_of_day,0
