trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,MIXED,NVDA,2026-01-20,long,179.94,179.91,2026-01-20T14:49:00+00:00,2026-01-20T14:56:00+00:00,-0.03,-2.93,-0.02,0,trailing_stop,0
2,VWAPMagnet,MIXED,NVDA,2026-01-20,long,179.9,180.29,2026-01-20T15:15:00+00:00,2026-01-20T15:21:00+00:00,0.2,20.41,0.22,0,trailing_stop,0
3,VWAPMagnet,MIXED,NVDA,2026-01-20,short,181.5,181.67,2026-01-20T15:36:00+00:00,2026-01-20T15:42:00+00:00,-0.11,-10.63,-0.09,0,trailing_stop,0
4,VWAPMagnet,MIXED,NVDA,2026-01-21,short,180.28,180.8,2026-01-21T14:51:00+00:00,2026-01-21T14:55:00+00:00,-0.3,-30.39,-0.29,0,trailing_stop,0
5,VWAPMagnet,MIXED,NVDA,2026-01-21,short,180.32,180.81,2026-01-21T15:06:00+00:00,2026-01-21T15:16:00+00:00,-0.28,-28.44,-0.27,0,trailing_stop,0
6,VWAPMagnet,MIXED,NVDA,2026-01-21,short,180.66,181.15,2026-01-21T15:21:00+00:00,2026-01-21T15:34:00+00:00,-0.28,-28.39,-0.27,0,trailing_stop,0
7,VWAPMagnet,MIXED,NVDA,2026-01-22,long,184.27,185.13,2026-01-22T14:49:00+00:00,2026-01-22T14:54:00+00:00,0.45,45.42,0.47,0,take_profit,0
8,VWAPMagnet,MIXED,NVDA,2026-01-22,short,185.59,185.92,2026-01-22T16:16:00+00:00,2026-01-22T16:40:00+00:00,-0.19,-19.03,-0.18,0,trailing_stop,0
9,VWAPMagnet,MIXED,NVDA,2026-01-22,short,185.92,184.97,2026-01-22T16:40:00+00:00,2026-01-22T17:17:00+00:00,0.5,49.85,0.51,0,take_profit,0
10,VWAPMagnet,MIXED,NVDA,2026-01-26,long,187.06,187.22,2026-01-26T14:51:00+00:00,2026-01-26T15:00:00+00:00,0.07,7.31,0.09,0,trailing_stop,0
11,VWAPMagnet,MIXED,NVDA,2026-01-26,long,187.13,187.17,2026-01-26T15:09:00+00:00,2026-01-26T15:31:00+00:00,0.01,0.89,0.02,0,trailing_stop,0
12,VWAPMagnet,MIXED,NVDA,2026-01-26,long,187.01,186.43,2026-01-26T15:43:00+00:00,2026-01-26T16:00:00+00:00,-0.32,-32.26,-0.31,0,trailing_stop,0
13,VWAPMagnet,MIXED,NVDA,2026-01-27,short,187.37,188.06,2026-01-27T14:56:00+00:00,2026-01-27T15:04:00+00:00,-0.38,-38.07,-0.37,0,trailing_stop,0
14,VWAPMagnet,MIXED,NVDA,2026-01-27,short,189.01,189.45,2026-01-27T15:11:00+00:00,2026-01-27T15:17:00+00:00,-0.25,-24.52,-0.23,0,trailing_stop,0
15,VWAPMagnet,MIXED,NVDA,2026-01-27,short,188.77,189.46,2026-01-27T15:26:00+00:00,2026-01-27T15:35:00+00:00,-0.38,-37.79,-0.37,0,trailing_stop,0
16,MeanReversion,MIXED,AAPL,2026-01-26,short,255.13,255.14,2026-01-26T15:38:00+00:00,2026-01-26T16:27:00+00:00,-0.01,-1.49,0,0,trailing_stop,0
