trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Pullback,TRENDING,TSLA,2026-01-26,long,444.79,445.0,2026-01-26T10:53:00+00:00,2026-01-26T10:57:00+00:00,0.02,8.85,0.05,0,take_profit,0
2,Pullback,TRENDING,TSLA,2026-01-26,long,444.79,444.78,2026-01-26T11:00:00+00:00,2026-01-26T11:07:00+00:00,-0.03,-13.15,0,0,take_profit,0
3,Pullback,TRENDING,TSLA,2026-01-26,long,445.95,446.09,2026-01-26T12:20:00+00:00,2026-01-26T12:25:00+00:00,0.0,1.82,0.03,0,take_profit,0
4,Pullback,TRENDING,TSLA,2026-01-26,long,445.97,445.97,2026-01-26T12:28:00+00:00,2026-01-26T12:29:00+00:00,-0.03,-12.17,0,0,stop_loss,0
5,Pullback,TRENDING,TSLA,2026-01-26,long,445.93,446.04,2026-01-26T12:31:00+00:00,2026-01-26T12:32:00+00:00,-0.0,-1.17,0.02,0,take_profit,0
6,Pullback,TRENDING,TSLA,2026-01-26,long,445.9,445.56,2026-01-26T12:36:00+00:00,2026-01-26T12:41:00+00:00,-0.1,-46.17,-0.08,0,stop_loss,0
7,Pullback,TRENDING,TSLA,2026-01-26,short,445.54,445.7,2026-01-26T13:11:00+00:00,2026-01-26T13:14:00+00:00,-0.06,-28.17,-0.04,0,stop_loss,0
8,Pullback,TRENDING,TSLA,2026-01-26,short,444.47,444.54,2026-01-26T13:46:00+00:00,2026-01-26T13:48:00+00:00,-0.04,-19.14,-0.02,0,stop_loss,0
9,Pullback,TRENDING,TSLA,2026-01-26,short,444.79,445.02,2026-01-26T13:51:00+00:00,2026-01-26T13:53:00+00:00,-0.08,-35.15,-0.05,0,stop_loss,0
10,Pullback,TRENDING,TSLA,2026-01-26,long,445.43,445.09,2026-01-26T14:21:00+00:00,2026-01-26T14:26:00+00:00,-0.1,-46.16,-0.08,0,stop_loss,0
11,Pullback,TRENDING,TSLA,2026-01-26,short,438.95,439.35,2026-01-26T14:56:00+00:00,2026-01-26T14:57:00+00:00,-0.12,-52.02,-0.09,0,stop_loss,0
12,Pullback,TRENDING,TSLA,2026-01-26,short,439.28,439.85,2026-01-26T15:04:00+00:00,2026-01-26T15:07:00+00:00,-0.16,-69.03,-0.13,0,stop_loss,0
