trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,MIXED,NVDA,2025-12-15,long,176.04,177.41,2025-12-15T14:39:00+00:00,2025-12-15T14:48:00+00:00,0.74,130.96,0.78,0,take_profit,0
2,VWAPMagnet,MIXED,NVDA,2025-12-15,short,177.99,177.46,2025-12-15T15:06:00+00:00,2025-12-15T15:11:00+00:00,0.26,46.94,0.3,0,take_profit,0
3,VWAPMagnet,MIXED,NVDA,2025-12-15,long,176.31,175.71,2025-12-15T15:23:00+00:00,2025-12-15T15:26:00+00:00,-0.38,-66.52,-0.34,0,trailing_stop,0
4,VWAPMagnet,MIXED,NVDA,2025-12-15,long,175.71,177.23,2025-12-15T15:26:00+00:00,2025-12-15T15:44:00+00:00,0.83,146.46,0.87,0,take_profit,0
5,VWAPMagnet,MIXED,NVDA,2025-12-16,short,175.92,176.12,2025-12-16T10:43:00+00:00,2025-12-16T11:57:00+00:00,-0.15,-26.02,-0.11,0,stop_loss,0
6,VWAPMagnet,MIXED,NVDA,2025-12-16,short,176.49,176.72,2025-12-16T12:05:00+00:00,2025-12-16T12:11:00+00:00,-0.16,-29.04,-0.13,0,stop_loss,0
7,VWAPMagnet,MIXED,NVDA,2025-12-16,short,176.72,176.95,2025-12-16T12:11:00+00:00,2025-12-16T12:31:00+00:00,-0.16,-29.04,-0.13,0,stop_loss,0
8,VWAPMagnet,MIXED,NVDA,2025-12-16,short,177.55,177.04,2025-12-16T13:30:00+00:00,2025-12-16T13:39:00+00:00,0.25,44.95,0.29,0,take_profit,0
9,VWAPMagnet,MIXED,NVDA,2025-12-16,long,175.15,175.87,2025-12-16T14:35:00+00:00,2025-12-16T14:36:00+00:00,0.38,65.99,0.41,0,trailing_stop,0
10,VWAPMagnet,MIXED,NVDA,2025-12-16,long,175.26,175.81,2025-12-16T14:41:00+00:00,2025-12-16T14:46:00+00:00,0.28,48.99,0.31,0,trailing_stop,0
11,VWAPMagnet,MIXED,NVDA,2025-12-16,short,177.07,177.31,2025-12-16T14:50:00+00:00,2025-12-16T14:59:00+00:00,-0.17,-29.55,-0.13,0,trailing_stop,0
12,VWAPMagnet,MIXED,NVDA,2025-12-16,short,177.31,177.27,2025-12-16T14:59:00+00:00,2025-12-16T15:08:00+00:00,-0.01,-2.05,0.02,0,trailing_stop,0
13,VWAPMagnet,MIXED,NVDA,2025-12-16,short,177.27,176.28,2025-12-16T15:08:00+00:00,2025-12-16T15:24:00+00:00,0.52,92.96,0.56,0,take_profit,0
14,MeanReversion,CHOPPY,NVDA,2025-12-17,long,176.86,177.5,2025-12-17T13:38:00+00:00,2025-12-17T13:58:00+00:00,0.33,57.95,0.36,0,take_profit,0
15,MeanReversion,CHOPPY,NVDA,2025-12-17,long,176.64,175.98,2025-12-17T14:27:00+00:00,2025-12-17T14:28:00+00:00,-0.41,-72.03,-0.37,0,trailing_stop,0
16,MeanReversion,CHOPPY,NVDA,2025-12-17,long,175.98,175.03,2025-12-17T14:28:00+00:00,2025-12-17T14:30:00+00:00,-0.57,-101.01,-0.54,0,trailing_stop,0
17,MeanReversion,CHOPPY,NVDA,2025-12-17,long,174.02,174.01,2025-12-17T15:08:00+00:00,2025-12-17T15:27:00+00:00,-0.04,-6.98,-0.01,0,trailing_stop,0
18,MeanReversion,CHOPPY,NVDA,2025-12-17,long,173.77,173.31,2025-12-17T15:34:00+00:00,2025-12-17T15:36:00+00:00,-0.3,-51.97,-0.26,0,trailing_stop,0
19,MeanReversion,CHOPPY,NVDA,2025-12-17,long,173.31,172.86,2025-12-17T15:36:00+00:00,2025-12-17T15:41:00+00:00,-0.29,-50.96,-0.26,0,trailing_stop,0
20,MeanReversion,CHOPPY,NVDA,2025-12-17,long,172.86,172.37,2025-12-17T15:41:00+00:00,2025-12-17T15:44:00+00:00,-0.32,-54.95,-0.28,0,trailing_stop,0
21,MeanReversion,CHOPPY,NVDA,2025-12-17,long,172.37,172.5,2025-12-17T15:44:00+00:00,2025-12-17T15:51:00+00:00,0.04,7.06,0.08,0,trailing_stop,0
22,Momentum,TRENDING,NVDA,2025-12-18,short,172.81,173.0,2025-12-18T10:04:00+00:00,2025-12-18T10:28:00+00:00,-0.14,-24.95,-0.11,0,stop_loss,0
23,Momentum,TRENDING,NVDA,2025-12-18,short,173.97,174.35,2025-12-18T13:49:00+00:00,2025-12-18T14:10:00+00:00,-0.25,-43.98,-0.22,0,stop_loss,0
24,MeanReversion,CHOPPY,NVDA,2025-12-19,long,175.99,175.58,2025-12-19T12:09:00+00:00,2025-12-19T12:38:00+00:00,-0.27,-47.02,-0.23,0,trailing_stop,0
25,MeanReversion,CHOPPY,NVDA,2025-12-19,long,175.58,175.58,2025-12-19T12:38:00+00:00,2025-12-19T13:02:00+00:00,-0.03,-6.01,0,0,trailing_stop,0
26,MeanReversion,CHOPPY,NVDA,2025-12-19,long,175.58,176.31,2025-12-19T13:02:00+00:00,2025-12-19T14:18:00+00:00,0.38,66.98,0.42,0,take_profit,0
27,MeanReversion,CHOPPY,NVDA,2025-12-19,short,176.66,176.91,2025-12-19T14:28:00+00:00,2025-12-19T14:30:00+00:00,-0.17,-30.54,-0.14,0,stop_loss,0
28,MeanReversion,CHOPPY,NVDA,2025-12-19,short,177.76,178.25,2025-12-19T14:32:00+00:00,2025-12-19T14:33:00+00:00,-0.31,-55.07,-0.28,0,trailing_stop,0
29,MeanReversion,CHOPPY,NVDA,2025-12-19,short,178.25,178.32,2025-12-19T14:33:00+00:00,2025-12-19T14:39:00+00:00,-0.07,-13.08,-0.04,0,trailing_stop,0
30,MeanReversion,CHOPPY,NVDA,2025-12-19,short,179.25,179.02,2025-12-19T15:15:00+00:00,2025-12-19T15:31:00+00:00,0.09,16.9,0.13,0,trailing_stop,0
31,MeanReversion,CHOPPY,NVDA,2025-12-19,short,179.02,178.94,2025-12-19T15:31:00+00:00,2025-12-19T15:55:00+00:00,0.01,1.91,0.04,0,end_of_day,0
32,Momentum,TRENDING,NVDA,2025-12-22,long,183.34,183.85,2025-12-22T12:05:00+00:00,2025-12-22T12:19:00+00:00,0.24,44.8,0.28,0,take_profit,0
33,MeanReversion,CHOPPY,NVDA,2025-12-23,short,184.75,185.19,2025-12-23T15:22:00+00:00,2025-12-23T15:23:00+00:00,-0.27,-49.73,-0.24,0,stop_loss,0
34,MeanReversion,CHOPPY,NVDA,2025-12-23,short,185.19,185.54,2025-12-23T15:23:00+00:00,2025-12-23T15:30:00+00:00,-0.23,-42.24,-0.19,0,trailing_stop,0
35,VWAPMagnet,MIXED,NVDA,2025-12-24,long,186.86,187.45,2025-12-24T15:24:00+00:00,2025-12-24T15:55:00+00:00,0.28,52.72,0.32,0,end_of_day,0
36,MeanReversion,CHOPPY,NVDA,2025-12-26,short,190.78,191.27,2025-12-26T14:32:00+00:00,2025-12-26T14:34:00+00:00,-0.29,-55.37,-0.26,0,trailing_stop,0
37,MeanReversion,CHOPPY,NVDA,2025-12-26,short,191.27,191.94,2025-12-26T14:34:00+00:00,2025-12-26T14:35:00+00:00,-0.38,-73.38,-0.35,0,trailing_stop,0
38,MeanReversion,CHOPPY,NVDA,2025-12-26,long,190.35,191.07,2025-12-26T15:11:00+00:00,2025-12-26T15:19:00+00:00,0.34,65.64,0.38,0,take_profit,0
39,MeanReversion,CHOPPY,NVDA,2025-12-26,short,191.71,191.98,2025-12-26T15:30:00+00:00,2025-12-26T15:55:00+00:00,-0.17,-33.38,-0.14,0,end_of_day,0
