trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Momentum,TRENDING,NVDA,2026-01-20,long,181.11,181.6,2026-01-20T10:11:00+00:00,2026-01-20T10:49:00+00:00,0.24,42.85,0.27,0,take_profit,0
2,Momentum,TRENDING,NVDA,2026-01-21,long,179.24,180.03,2026-01-21T10:04:00+00:00,2026-01-21T11:31:00+00:00,0.41,72.89,0.44,0,take_profit,0
3,Momentum,TRENDING,NVDA,2026-01-21,long,178.4,178.13,2026-01-21T12:20:00+00:00,2026-01-21T12:30:00+00:00,-0.19,-33.08,-0.15,0,stop_loss,0
4,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.59,185.23,2026-01-22T14:37:00+00:00,2026-01-22T14:39:00+00:00,0.31,57.77,0.35,0,take_profit,0
5,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.57,184.27,2026-01-22T14:46:00+00:00,2026-01-22T14:49:00+00:00,-0.2,-36.22,-0.16,0,trailing_stop,0
6,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.27,185.13,2026-01-22T14:49:00+00:00,2026-01-22T14:54:00+00:00,0.43,79.78,0.47,0,take_profit,0
7,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.36,184.2,2026-01-22T14:56:00+00:00,2026-01-22T15:17:00+00:00,-0.12,-22.21,-0.09,0,trailing_stop,0
8,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.2,184.84,2026-01-22T15:17:00+00:00,2026-01-22T15:22:00+00:00,0.31,57.78,0.35,0,take_profit,0
9,VWAPMagnet,MIXED,NVDA,2026-01-23,short,186.49,187.22,2026-01-23T11:03:00+00:00,2026-01-23T11:04:00+00:00,-0.43,-79.27,-0.39,0,trailing_stop,0
10,VWAPMagnet,MIXED,NVDA,2026-01-23,short,187.22,187.58,2026-01-23T11:04:00+00:00,2026-01-23T11:05:00+00:00,-0.23,-42.28,-0.19,0,trailing_stop,0
11,VWAPMagnet,MIXED,NVDA,2026-01-23,short,187.58,188.03,2026-01-23T11:05:00+00:00,2026-01-23T11:06:00+00:00,-0.27,-51.29,-0.24,0,trailing_stop,0
12,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.03,188.58,2026-01-23T11:06:00+00:00,2026-01-23T11:10:00+00:00,-0.33,-61.3,-0.29,0,trailing_stop,0
13,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.58,188.2,2026-01-23T11:10:00+00:00,2026-01-23T11:27:00+00:00,0.17,31.69,0.2,0,trailing_stop,0
14,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.2,187.37,2026-01-23T11:27:00+00:00,2026-01-23T11:48:00+00:00,0.41,76.71,0.44,0,take_profit,0
15,VWAPMagnet,MIXED,NVDA,2026-01-23,long,186.57,187.33,2026-01-23T13:21:00+00:00,2026-01-23T14:27:00+00:00,0.37,69.73,0.41,0,take_profit,0
16,VWAPMagnet,MIXED,NVDA,2026-01-23,short,189.33,188.32,2026-01-23T14:31:00+00:00,2026-01-23T14:32:00+00:00,0.5,94.68,0.53,0,trailing_stop,0
17,VWAPMagnet,MIXED,NVDA,2026-01-23,long,187.42,187.03,2026-01-23T14:34:00+00:00,2026-01-23T14:39:00+00:00,-0.24,-45.28,-0.21,0,trailing_stop,0
18,VWAPMagnet,MIXED,NVDA,2026-01-23,long,187.03,187.82,2026-01-23T14:39:00+00:00,2026-01-23T14:46:00+00:00,0.39,72.71,0.42,0,take_profit,0
19,VWAPMagnet,MIXED,NVDA,2026-01-23,long,187.32,187.99,2026-01-23T14:47:00+00:00,2026-01-23T14:58:00+00:00,0.32,60.21,0.36,0,take_profit,0
20,Momentum,TRENDING,NVDA,2026-01-26,long,187.04,186.93,2026-01-26T14:15:00+00:00,2026-01-26T14:19:00+00:00,-0.09,-17.27,-0.06,0,stop_loss,0
21,Momentum,TRENDING,NVDA,2026-01-26,short,187.56,187.31,2026-01-26T14:49:00+00:00,2026-01-26T15:55:00+00:00,0.1,18.72,0.13,0,end_of_day,0
22,VWAPMagnet,MIXED,NVDA,2026-01-27,short,187.37,188.06,2026-01-27T14:56:00+00:00,2026-01-27T15:04:00+00:00,-0.4,-75.29,-0.37,0,stop_loss,0
23,VWAPMagnet,MIXED,NVDA,2026-01-27,short,188.06,188.82,2026-01-27T15:04:00+00:00,2026-01-27T15:10:00+00:00,-0.44,-82.31,-0.4,0,trailing_stop,0
24,VWAPMagnet,MIXED,NVDA,2026-01-27,short,188.82,189.45,2026-01-27T15:10:00+00:00,2026-01-27T15:17:00+00:00,-0.37,-69.32,-0.33,0,stop_loss,0
25,VWAPMagnet,MIXED,NVDA,2026-01-27,short,189.45,189.46,2026-01-27T15:17:00+00:00,2026-01-27T15:35:00+00:00,-0.04,-7.33,-0.01,0,trailing_stop,0
26,VWAPMagnet,MIXED,NVDA,2026-01-27,short,189.46,189.16,2026-01-27T15:35:00+00:00,2026-01-27T15:55:00+00:00,0.12,23.67,0.16,0,end_of_day,0
27,MeanReversion,CHOPPY,TSLA,2026-01-20,short,424.74,425.65,2026-01-20T10:07:00+00:00,2026-01-20T10:11:00+00:00,-0.24,-102.7,-0.21,0,stop_loss,0
28,MeanReversion,CHOPPY,TSLA,2026-01-20,short,425.65,426.4,2026-01-20T10:11:00+00:00,2026-01-20T10:28:00+00:00,-0.2,-86.72,-0.18,0,stop_loss,0
29,MeanReversion,CHOPPY,TSLA,2026-01-20,short,425.5,426.2,2026-01-20T10:35:00+00:00,2026-01-20T10:44:00+00:00,-0.19,-81.71,-0.16,0,stop_loss,0
30,MeanReversion,CHOPPY,TSLA,2026-01-20,short,426.2,426.87,2026-01-20T10:44:00+00:00,2026-01-20T10:46:00+00:00,-0.18,-78.73,-0.16,0,stop_loss,0
31,MeanReversion,CHOPPY,TSLA,2026-01-20,short,426.87,426.88,2026-01-20T10:46:00+00:00,2026-01-20T11:55:00+00:00,-0.03,-12.74,0,0,trailing_stop,0
32,MeanReversion,CHOPPY,TSLA,2026-01-20,long,426.44,425.9,2026-01-20T13:32:00+00:00,2026-01-20T13:33:00+00:00,-0.15,-65.72,-0.13,0,stop_loss,0
33,MeanReversion,CHOPPY,TSLA,2026-01-20,long,425.9,427.71,2026-01-20T13:33:00+00:00,2026-01-20T14:27:00+00:00,0.4,169.26,0.42,0,take_profit,0
34,MeanReversion,CHOPPY,TSLA,2026-01-20,short,428.7,426.73,2026-01-20T14:28:00+00:00,2026-01-20T14:30:00+00:00,0.43,185.24,0.46,0,trailing_stop,0
35,MeanReversion,CHOPPY,TSLA,2026-01-20,long,425.49,427.72,2026-01-20T14:31:00+00:00,2026-01-20T14:34:00+00:00,0.5,211.26,0.52,0,trailing_stop,0
36,MeanReversion,CHOPPY,TSLA,2026-01-20,long,424.79,426.26,2026-01-20T14:37:00+00:00,2026-01-20T14:41:00+00:00,0.32,135.29,0.35,0,trailing_stop,0
37,MeanReversion,CHOPPY,TSLA,2026-01-20,long,425.3,426.77,2026-01-20T14:48:00+00:00,2026-01-20T14:50:00+00:00,0.32,135.28,0.35,0,trailing_stop,0
38,MeanReversion,CHOPPY,TSLA,2026-01-20,long,425.37,424.75,2026-01-20T14:56:00+00:00,2026-01-20T14:59:00+00:00,-0.17,-73.7,-0.15,0,trailing_stop,0
39,MeanReversion,CHOPPY,TSLA,2026-01-20,long,424.75,423.98,2026-01-20T14:59:00+00:00,2026-01-20T15:08:00+00:00,-0.21,-88.68,-0.18,0,trailing_stop,0
40,MeanReversion,CHOPPY,TSLA,2026-01-20,long,423.98,424.65,2026-01-20T15:08:00+00:00,2026-01-20T15:20:00+00:00,0.13,55.32,0.16,0,trailing_stop,0
41,MeanReversion,CHOPPY,TSLA,2026-01-20,long,424.65,425.91,2026-01-20T15:20:00+00:00,2026-01-20T15:21:00+00:00,0.27,114.3,0.3,0,trailing_stop,0
42,MeanReversion,CHOPPY,TSLA,2026-01-20,short,427.56,426.4,2026-01-20T15:41:00+00:00,2026-01-20T15:49:00+00:00,0.24,104.26,0.27,0,take_profit,0
43,Momentum,TRENDING,TSLA,2026-01-21,long,428.71,428.5,2026-01-21T15:41:00+00:00,2026-01-21T15:55:00+00:00,-0.08,-32.28,-0.05,0,end_of_day,0
44,VWAPMagnet,MIXED,TSLA,2026-01-22,long,432.67,433.96,2026-01-22T14:36:00+00:00,2026-01-22T14:38:00+00:00,0.27,117.61,0.3,0,take_profit,0
45,VWAPMagnet,MIXED,TSLA,2026-01-22,short,436.32,434.73,2026-01-22T15:22:00+00:00,2026-01-22T15:24:00+00:00,0.34,147.06,0.36,0,take_profit,0
46,VWAPMagnet,MIXED,TSLA,2026-01-22,short,436.44,438.78,2026-01-22T15:49:00+00:00,2026-01-22T15:53:00+00:00,-0.56,-246.48,-0.54,0,trailing_stop,0
47,VWAPMagnet,MIXED,TSLA,2026-01-22,short,438.78,437.86,2026-01-22T15:53:00+00:00,2026-01-22T15:55:00+00:00,0.18,80.0,0.21,0,end_of_day,0
