trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Pullback,TRENDING,NVDA,2026-01-20,long,181.25,181.49,2026-01-20T10:36:00+00:00,2026-01-20T10:46:00+00:00,0.1,17.85,0.13,0,take_profit,0
2,Pullback,TRENDING,NVDA,2026-01-20,long,181.35,181.32,2026-01-20T10:56:00+00:00,2026-01-20T10:59:00+00:00,-0.05,-9.15,-0.02,0,stop_loss,0
3,Pullback,TRENDING,NVDA,2026-01-20,long,182.42,182.48,2026-01-20T12:20:00+00:00,2026-01-20T12:21:00+00:00,-0.0,-0.17,0.03,0,take_profit,0
4,Pullback,TRENDING,NVDA,2026-01-20,long,182.48,182.66,2026-01-20T12:21:00+00:00,2026-01-20T12:23:00+00:00,0.06,11.83,0.1,0,take_profit,0
5,Pullback,TRENDING,NVDA,2026-01-20,long,182.48,182.71,2026-01-20T12:27:00+00:00,2026-01-20T12:41:00+00:00,0.09,16.83,0.13,0,take_profit,0
6,Pullback,TRENDING,NVDA,2026-01-20,short,182.2,182.25,2026-01-20T13:18:00+00:00,2026-01-20T13:19:00+00:00,-0.06,-11.17,-0.03,0,stop_loss,0
7,Pullback,TRENDING,NVDA,2026-01-20,short,181.72,180.89,2026-01-20T14:30:00+00:00,2026-01-20T14:32:00+00:00,0.42,76.85,0.46,0,take_profit,0
8,Pullback,TRENDING,NVDA,2026-01-20,long,181.27,181.0,2026-01-20T15:46:00+00:00,2026-01-20T15:47:00+00:00,-0.18,-33.14,-0.15,0,stop_loss,0
9,Pullback,TRENDING,NVDA,2026-01-21,long,179.63,179.6,2026-01-21T10:47:00+00:00,2026-01-21T10:48:00+00:00,-0.05,-9.11,-0.02,0,stop_loss,0
10,Pullback,TRENDING,NVDA,2026-01-21,short,179.28,179.25,2026-01-21T11:10:00+00:00,2026-01-21T11:12:00+00:00,-0.02,-3.1,0.02,0,stop_loss,0
11,Pullback,TRENDING,NVDA,2026-01-21,short,178.28,178.08,2026-01-21T12:21:00+00:00,2026-01-21T12:31:00+00:00,0.08,13.93,0.11,0,take_profit,0
12,Pullback,TRENDING,NVDA,2026-01-21,long,178.84,178.7,2026-01-21T13:15:00+00:00,2026-01-21T13:16:00+00:00,-0.11,-20.09,-0.08,0,stop_loss,0
13,Pullback,TRENDING,NVDA,2026-01-21,long,178.73,178.7,2026-01-21T13:17:00+00:00,2026-01-21T13:18:00+00:00,-0.05,-9.09,-0.02,0,stop_loss,0
14,Pullback,TRENDING,NVDA,2026-01-21,long,178.75,178.68,2026-01-21T13:19:00+00:00,2026-01-21T13:20:00+00:00,-0.07,-13.09,-0.04,0,stop_loss,0
15,Pullback,TRENDING,NVDA,2026-01-22,short,184.84,184.75,2026-01-22T11:30:00+00:00,2026-01-22T11:31:00+00:00,0.02,2.78,0.05,0,stop_loss,0
16,Pullback,TRENDING,NVDA,2026-01-22,short,184.62,184.9,2026-01-22T11:59:00+00:00,2026-01-22T12:00:00+00:00,-0.19,-34.22,-0.15,0,stop_loss,0
17,Pullback,TRENDING,NVDA,2026-01-22,long,184.86,184.99,2026-01-22T12:31:00+00:00,2026-01-22T12:43:00+00:00,0.04,6.77,0.07,0,take_profit,0
18,MeanReversion,CHOPPY,NVDA,2026-01-23,short,186.49,187.22,2026-01-23T11:03:00+00:00,2026-01-23T11:04:00+00:00,-0.43,-79.27,-0.39,0,trailing_stop,0
19,MeanReversion,CHOPPY,NVDA,2026-01-23,long,186.89,186.73,2026-01-23T13:16:00+00:00,2026-01-23T13:19:00+00:00,-0.12,-22.27,-0.09,0,stop_loss,0
20,MeanReversion,CHOPPY,NVDA,2026-01-23,short,189.33,188.32,2026-01-23T14:31:00+00:00,2026-01-23T14:32:00+00:00,0.5,94.68,0.53,0,trailing_stop,0
21,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.54,187.03,2026-01-23T14:36:00+00:00,2026-01-23T14:39:00+00:00,-0.31,-57.28,-0.27,0,trailing_stop,0
22,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.03,187.46,2026-01-23T14:39:00+00:00,2026-01-23T14:40:00+00:00,0.2,36.72,0.23,0,trailing_stop,0
23,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.46,187.56,2026-01-23T14:40:00+00:00,2026-01-23T14:44:00+00:00,0.02,3.71,0.05,0,trailing_stop,0
24,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.56,187.82,2026-01-23T14:44:00+00:00,2026-01-23T14:46:00+00:00,0.11,19.71,0.14,0,take_profit,0
25,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.32,187.66,2026-01-23T14:47:00+00:00,2026-01-23T14:55:00+00:00,0.15,27.71,0.18,0,trailing_stop,0
26,MeanReversion,CHOPPY,NVDA,2026-01-23,long,187.38,187.82,2026-01-23T15:18:00+00:00,2026-01-23T15:37:00+00:00,0.2,38.21,0.24,0,take_profit,0
27,Pullback,TRENDING,NVDA,2026-01-26,long,186.33,186.07,2026-01-26T10:39:00+00:00,2026-01-26T11:11:00+00:00,-0.17,-32.26,-0.14,0,stop_loss,0
28,Pullback,TRENDING,NVDA,2026-01-26,long,186.32,186.61,2026-01-26T13:05:00+00:00,2026-01-26T13:15:00+00:00,0.12,22.74,0.16,0,take_profit,0
29,Pullback,TRENDING,NVDA,2026-01-26,short,187.62,187.12,2026-01-26T14:58:00+00:00,2026-01-26T15:01:00+00:00,0.23,43.72,0.27,0,take_profit,0
30,Pullback,TRENDING,NVDA,2026-01-26,short,187.29,187.51,2026-01-26T15:16:00+00:00,2026-01-26T15:17:00+00:00,-0.15,-28.28,-0.12,0,stop_loss,0
31,MeanReversion,CHOPPY,NVDA,2026-01-27,short,189.36,189.16,2026-01-27T15:47:00+00:00,2026-01-27T15:55:00+00:00,0.07,13.67,0.11,0,end_of_day,0
