trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,VWAPMagnet,CHOPPY,NVDA,2026-01-05,short,193.26,192.28,2026-01-05T14:31:00+00:00,2026-01-05T14:35:00+00:00,0.47,91.59,0.51,0,take_profit,0
2,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,191.63,190.78,2026-01-05T14:38:00+00:00,2026-01-05T14:40:00+00:00,-0.48,-91.37,-0.44,0,trailing_stop,0
3,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,190.78,189.99,2026-01-05T14:40:00+00:00,2026-01-05T14:42:00+00:00,-0.45,-85.35,-0.41,0,trailing_stop,0
4,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,189.99,189.48,2026-01-05T14:42:00+00:00,2026-01-05T14:48:00+00:00,-0.3,-57.34,-0.27,0,trailing_stop,0
5,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,189.48,190.26,2026-01-05T14:48:00+00:00,2026-01-05T15:01:00+00:00,0.38,71.66,0.41,0,trailing_stop,0
6,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,190.26,189.77,2026-01-05T15:01:00+00:00,2026-01-05T15:25:00+00:00,-0.29,-55.34,-0.26,0,trailing_stop,0
7,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,189.77,189.31,2026-01-05T15:25:00+00:00,2026-01-05T15:44:00+00:00,-0.28,-52.33,-0.24,0,trailing_stop,0
8,VWAPMagnet,CHOPPY,NVDA,2026-01-05,long,189.31,189.98,2026-01-05T15:44:00+00:00,2026-01-05T15:55:00+00:00,0.32,60.66,0.35,0,end_of_day,0
9,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.44,190.48,2026-01-06T14:40:00+00:00,2026-01-06T14:45:00+00:00,0.52,97.66,0.55,0,take_profit,0
10,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.21,191.88,2026-01-06T14:47:00+00:00,2026-01-06T14:51:00+00:00,-0.38,-73.38,-0.35,0,trailing_stop,0
11,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.88,191.63,2026-01-06T14:51:00+00:00,2026-01-06T15:13:00+00:00,0.09,18.12,0.13,0,trailing_stop,0
12,VWAPMagnet,MIXED,NVDA,2026-01-06,short,191.63,190.85,2026-01-06T15:13:00+00:00,2026-01-06T15:34:00+00:00,0.37,71.63,0.41,0,take_profit,0
13,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.97,189.47,2026-01-06T15:46:00+00:00,2026-01-06T15:54:00+00:00,-0.3,-56.34,-0.26,0,stop_loss,0
14,VWAPMagnet,MIXED,NVDA,2026-01-06,long,189.47,189.22,2026-01-06T15:54:00+00:00,2026-01-06T15:55:00+00:00,-0.17,-31.33,-0.13,0,end_of_day,0
15,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,188.49,188.27,2026-01-07T12:10:00+00:00,2026-01-07T14:25:00+00:00,0.08,15.69,0.12,0,trailing_stop,0
16,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,188.64,189.26,2026-01-07T14:44:00+00:00,2026-01-07T14:53:00+00:00,-0.36,-68.32,-0.33,0,trailing_stop,0
17,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,189.26,189.92,2026-01-07T14:53:00+00:00,2026-01-07T14:56:00+00:00,-0.38,-72.33,-0.35,0,trailing_stop,0
18,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,189.92,190.07,2026-01-07T14:56:00+00:00,2026-01-07T15:05:00+00:00,-0.11,-21.34,-0.08,0,trailing_stop,0
19,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,190.07,190.96,2026-01-07T15:05:00+00:00,2026-01-07T15:07:00+00:00,-0.5,-95.35,-0.47,0,trailing_stop,0
20,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,190.96,191.16,2026-01-07T15:07:00+00:00,2026-01-07T15:23:00+00:00,-0.14,-26.37,-0.1,0,trailing_stop,0
21,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,191.16,189.03,2026-01-07T15:23:00+00:00,2026-01-07T15:38:00+00:00,1.08,206.65,1.11,0,trailing_stop,0
22,VWAPMagnet,CHOPPY,NVDA,2026-01-07,short,189.99,189.71,2026-01-07T15:47:00+00:00,2026-01-07T15:55:00+00:00,0.11,21.16,0.14,0,end_of_day,0
23,VWAPMagnet,CHOPPY,NVDA,2026-01-08,long,188.22,187.75,2026-01-08T14:34:00+00:00,2026-01-08T14:41:00+00:00,-0.28,-52.8,-0.25,0,trailing_stop,0
24,VWAPMagnet,CHOPPY,NVDA,2026-01-08,long,187.75,187.08,2026-01-08T14:41:00+00:00,2026-01-08T14:43:00+00:00,-0.39,-73.28,-0.36,0,trailing_stop,0
25,VWAPMagnet,CHOPPY,NVDA,2026-01-08,long,187.08,186.31,2026-01-08T14:43:00+00:00,2026-01-08T14:50:00+00:00,-0.45,-83.27,-0.41,0,trailing_stop,0
26,VWAPMagnet,CHOPPY,NVDA,2026-01-08,long,186.31,185.62,2026-01-08T14:50:00+00:00,2026-01-08T14:57:00+00:00,-0.4,-75.25,-0.37,0,trailing_stop,0
27,VWAPMagnet,CHOPPY,NVDA,2026-01-08,long,185.62,184.94,2026-01-08T14:57:00+00:00,2026-01-08T15:00:00+00:00,-0.4,-74.23,-0.37,0,trailing_stop,0
28,VWAPMagnet,CHOPPY,NVDA,2026-01-12,short,184.62,185.24,2026-01-12T14:31:00+00:00,2026-01-12T14:35:00+00:00,-0.37,-68.23,-0.34,0,trailing_stop,0
29,VWAPMagnet,CHOPPY,NVDA,2026-01-12,short,185.24,186.03,2026-01-12T14:35:00+00:00,2026-01-12T14:39:00+00:00,-0.46,-85.24,-0.43,0,trailing_stop,0
30,VWAPMagnet,CHOPPY,NVDA,2026-01-12,short,186.03,185.19,2026-01-12T14:39:00+00:00,2026-01-12T14:51:00+00:00,0.42,77.76,0.45,0,trailing_stop,0
31,VWAPMagnet,CHOPPY,NVDA,2026-01-12,long,183.87,184.33,2026-01-12T15:36:00+00:00,2026-01-12T15:55:00+00:00,0.22,39.79,0.25,0,end_of_day,0
32,Momentum,TRENDING,NVDA,2026-01-13,short,185.2,185.36,2026-01-13T11:44:00+00:00,2026-01-13T11:56:00+00:00,-0.12,-22.23,-0.09,0,stop_loss,0
33,Momentum,TRENDING,NVDA,2026-01-13,long,185.36,185.24,2026-01-13T11:56:00+00:00,2026-01-13T11:59:00+00:00,-0.1,-18.24,-0.06,0,stop_loss,0
34,Momentum,TRENDING,NVDA,2026-01-13,long,185.0,184.77,2026-01-13T12:15:00+00:00,2026-01-13T12:54:00+00:00,-0.16,-29.23,-0.12,0,stop_loss,0
35,Momentum,TRENDING,NVDA,2026-01-13,long,184.81,184.31,2026-01-13T14:53:00+00:00,2026-01-13T15:00:00+00:00,-0.3,-56.22,-0.27,0,stop_loss,0
36,Momentum,TRENDING,NVDA,2026-01-14,short,184.11,184.24,2026-01-14T10:49:00+00:00,2026-01-14T10:57:00+00:00,-0.1,-19.21,-0.07,0,stop_loss,0
37,Momentum,TRENDING,NVDA,2026-01-14,short,181.58,182.23,2026-01-14T14:58:00+00:00,2026-01-14T15:14:00+00:00,-0.39,-71.16,-0.36,0,stop_loss,0
38,VWAPMagnet,MIXED,NVDA,2026-01-15,short,186.55,185.9,2026-01-15T11:14:00+00:00,2026-01-15T12:00:00+00:00,0.31,58.74,0.35,0,take_profit,0
39,VWAPMagnet,MIXED,NVDA,2026-01-15,long,185.4,185.27,2026-01-15T12:14:00+00:00,2026-01-15T12:16:00+00:00,-0.1,-19.24,-0.07,0,stop_loss,0
40,VWAPMagnet,MIXED,NVDA,2026-01-15,long,185.27,184.78,2026-01-15T12:16:00+00:00,2026-01-15T12:25:00+00:00,-0.3,-55.23,-0.26,0,stop_loss,0
41,VWAPMagnet,MIXED,NVDA,2026-01-15,long,184.78,185.91,2026-01-15T12:25:00+00:00,2026-01-15T13:35:00+00:00,0.58,106.76,0.61,0,take_profit,0
42,VWAPMagnet,MIXED,NVDA,2026-01-15,short,186.28,186.52,2026-01-15T13:46:00+00:00,2026-01-15T14:28:00+00:00,-0.16,-30.26,-0.13,0,trailing_stop,0
43,VWAPMagnet,MIXED,NVDA,2026-01-15,short,187.76,188.79,2026-01-15T14:41:00+00:00,2026-01-15T14:44:00+00:00,-0.58,-109.3,-0.55,0,trailing_stop,0
44,VWAPMagnet,MIXED,NVDA,2026-01-15,short,188.79,188.63,2026-01-15T14:44:00+00:00,2026-01-15T15:13:00+00:00,0.05,9.69,0.08,0,trailing_stop,0
45,VWAPMagnet,MIXED,NVDA,2026-01-15,short,188.63,187.53,2026-01-15T15:13:00+00:00,2026-01-15T15:25:00+00:00,0.55,103.7,0.58,0,take_profit,0
46,VWAPMagnet,MIXED,NVDA,2026-01-15,long,186.93,187.5,2026-01-15T15:46:00+00:00,2026-01-15T15:55:00+00:00,0.27,50.72,0.3,0,end_of_day,0
