trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Momentum,TRENDING,NVDA,2026-01-20,long,181.11,181.6,2026-01-20T10:11:00+00:00,2026-01-20T10:49:00+00:00,0.24,42.85,0.27,0,take_profit,0
2,Momentum,TRENDING,NVDA,2026-01-20,long,181.91,181.72,2026-01-20T14:29:00+00:00,2026-01-20T14:30:00+00:00,-0.14,-25.16,-0.1,0,stop_loss,0
3,Momentum,TRENDING,NVDA,2026-01-20,short,181.0,180.47,2026-01-20T15:47:00+00:00,2026-01-20T15:55:00+00:00,0.26,46.37,0.29,0,end_of_day,0
4,Momentum,TRENDING,NVDA,2026-01-21,long,179.24,180.03,2026-01-21T10:04:00+00:00,2026-01-21T11:31:00+00:00,0.41,72.89,0.44,0,take_profit,0
5,Momentum,TRENDING,NVDA,2026-01-21,long,178.4,178.13,2026-01-21T12:20:00+00:00,2026-01-21T12:30:00+00:00,-0.19,-33.08,-0.15,0,stop_loss,0
6,Momentum,TRENDING,NVDA,2026-01-21,short,178.13,178.4,2026-01-21T12:30:00+00:00,2026-01-21T12:45:00+00:00,-0.19,-33.08,-0.15,0,stop_loss,0
7,Momentum,TRENDING,NVDA,2026-01-21,long,179.67,179.08,2026-01-21T14:10:00+00:00,2026-01-21T14:29:00+00:00,-0.36,-65.1,-0.33,0,stop_loss,0
8,Momentum,TRENDING,NVDA,2026-01-21,short,179.08,179.58,2026-01-21T14:29:00+00:00,2026-01-21T14:32:00+00:00,-0.31,-56.1,-0.28,0,stop_loss,0
9,Momentum,TRENDING,NVDA,2026-01-21,long,179.95,182.63,2026-01-21T14:44:00+00:00,2026-01-21T15:51:00+00:00,1.46,261.85,1.49,0,take_profit,0
10,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.59,185.23,2026-01-22T14:37:00+00:00,2026-01-22T14:39:00+00:00,0.31,57.77,0.35,0,take_profit,0
11,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.57,184.27,2026-01-22T14:46:00+00:00,2026-01-22T14:49:00+00:00,-0.2,-36.22,-0.16,0,trailing_stop,0
12,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.27,185.13,2026-01-22T14:49:00+00:00,2026-01-22T14:54:00+00:00,0.43,79.78,0.47,0,take_profit,0
13,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.36,184.2,2026-01-22T14:56:00+00:00,2026-01-22T15:17:00+00:00,-0.12,-22.21,-0.09,0,trailing_stop,0
14,MeanReversion,CHOPPY,NVDA,2026-01-22,long,184.2,184.84,2026-01-22T15:17:00+00:00,2026-01-22T15:22:00+00:00,0.31,57.78,0.35,0,take_profit,0
15,VWAPMagnet,MIXED,NVDA,2026-01-23,short,186.49,187.22,2026-01-23T11:03:00+00:00,2026-01-23T11:04:00+00:00,-0.43,-79.27,-0.39,0,trailing_stop,0
16,VWAPMagnet,MIXED,NVDA,2026-01-23,short,187.22,187.58,2026-01-23T11:04:00+00:00,2026-01-23T11:05:00+00:00,-0.23,-42.28,-0.19,0,trailing_stop,0
17,VWAPMagnet,MIXED,NVDA,2026-01-23,short,187.58,188.03,2026-01-23T11:05:00+00:00,2026-01-23T11:06:00+00:00,-0.27,-51.29,-0.24,0,trailing_stop,0
18,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.03,188.58,2026-01-23T11:06:00+00:00,2026-01-23T11:10:00+00:00,-0.33,-61.3,-0.29,0,trailing_stop,0
19,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.58,188.2,2026-01-23T11:10:00+00:00,2026-01-23T11:27:00+00:00,0.17,31.69,0.2,0,trailing_stop,0
20,VWAPMagnet,MIXED,NVDA,2026-01-23,short,188.2,187.37,2026-01-23T11:27:00+00:00,2026-01-23T11:48:00+00:00,0.41,76.71,0.44,0,take_profit,0
